date,nav_gross,nav_net,ret_gross,ret_net,drawdown_gross,drawdown_net
20240508,0.9954631427391638,0.9950493805197089,0.0,0.0,0.0,0.0
20240509,1.0000274992876432,0.9991885217502379,0.0045851587592886656,0.004159734493143441,0.0,0.0
20240510,0.9843384851496959,0.9830997794276168,-0.015688582713098587,-0.016101808590073707,-0.015688582713098587,-0.016101808590073707
20240513,0.9715025881800018,0.9692915486840721,-0.013040125082320664,-0.014045604558658553,-0.028524126714476128,-0.02992125351259689
20240514,0.9604169614973876,0.9572838296548816,-0.011410805094592469,-0.012388139611340221,-0.03960944855863624,-0.04193872445807678
20240515,0.9669467534487108,0.9628170995034647,0.0067989136105452985,0.005780176868315001,-0.033079836167002497,-0.036400960834760965
20240516,0.9689089570480041,0.9638122367472888,0.002029277819378228,0.0010335683115072491,-0.03111768652542657,-0.03540501540288099
20240517,0.9829070773331816,0.9768615957207483,0.014447301971307835,0.013539316555576164,-0.017119951168000025,-0.022345058558499442
20240520,1.0117362818216842,1.0046604256728675,0.029330549299453335,0.028457286143600102,0.0,0.0
20240521,1.015186024575154,1.007349968785447,0.003409725256920071,0.0026770668415432297,0.0,0.0
20240522,1.0291259059943485,1.0200916799886066,0.013731356698914565,0.012648743334475965,0.0,0.0
20240523,1.0301235504280353,1.0202999384005231,0.0009694095036145711,0.00020415656357353207,0.0,0.0
20240524,1.0142114251480574,1.0038130103141985,-0.015446812446299418,-0.01615890334382497,-0.015446812446299418,-0.01615890334382497
20240527,1.0018425627117167,0.990661613777893,-0.012195546342356645,-0.013101440608135784,-0.027453976471625507,-0.02904863903950905
20240528,0.9874608354519248,0.9754149079022816,-0.014355276762113678,-0.015390427632971493,-0.041415143803268384,-0.043991995695506714
20240529,0.993115756524396,0.9800345430339776,0.005726729475689307,0.004736071895426575,-0.03592558765233733,-0.039464273054517385
20240530,0.9877622036327245,0.9739286774091163,-0.005390663531920303,-0.006230255523401174,-0.04112258842903738,-0.04544865607274362
20240531,0.9923426321829538,0.9774813736273764,0.004637177382758484,0.003647799167092236,-0.03667610378326247,-0.04196664447541909
20240603,0.9901859763331687,0.9743604624782655,-0.002173297588798362,-0.003192808817961801,-0.03876969328414226,-0.04502546182083955
20240604,0.9953574373840104,0.9784795251537628,0.005222716918282799,0.00422745260518953,-0.03374945949889108,-0.040988352221524416
20240605,0.9717347225861329,0.9543561118672321,-0.02373289625479913,-0.024653978613134342,-0.056681383332747526,-0.0646318048756016
20240606,0.9213041802575376,0.9040999251285321,-0.05189743780522904,-0.052659784030063994,-0.10563720257175102,-0.11388809201944328
20240607,0.9185522822039609,0.9004183599554663,-0.002986959261171984,-0.004072077732494517,-0.10830862781237693,-0.11749640858842902
20240611,0.9425142641405297,0.9231096508964172,0.026086682708005293,0.02520083102489523,-0.08504735791265261,-0.09525658470240295
20240612,0.9820241084955436,0.9609529806455174,0.04191962483564371,0.04099548706088285,-0.04669288641396996,-0.05816618772715132
20240613,0.988782997969802,0.9668367448455812,0.006882610534493905,0.006122842967937414,-0.04013164483139475,-0.052399487192710814
20240614,1.0064464714010188,0.9832052254622083,0.017863852298718674,0.016929932280595583,-0.022984698308448737,-0.03635667468182591
20240617,0.9985881985267921,0.9745148603805495,-0.007807939217361115,-0.00883881091821248,-0.030613174398487986,-0.04487413582691069
20240618,1.037530807208468,1.0117750934587713,0.03899766564348295,0.03823464843180702,0.0,-0.008355234202126804
20240619,1.0275761470718472,1.001292694439035,-0.009594568245548496,-0.010360404290939762,-0.009594568245548496,-0.018629074888786956
20240620,1.0000129917062062,0.9733751706048581,-0.02682346748139708,-0.02788148159796311,-0.03616067613761309,-0.04599115027805134
20240621,0.9951888078982174,0.9679202621788945,-0.0048241211344243196,-0.005604117087324001,-0.04081035379004694,-0.051337527574236486
20240624,0.960463007744963,0.9334049137001257,-0.03489368035256879,-0.03565928912477867,-0.07428001070239054,-0.08516615696029417
20240625,0.9442982515083094,0.9169137448271105,-0.016830170559724356,-0.017667754509286038,-0.08986003601281556,-0.10132921671590644
20240626,0.9725935315015972,0.9435149310148062,0.029964346484907978,0.02901165604482414,-0.06258828678214179,-0.07525728905373574
20240627,0.9515041490284375,0.9224101772059183,-0.02168365487748991,-0.022368224513615753,-0.08291479884967434,-0.09594214162951142
20240628,0.9361748130719489,0.906782398170692,-0.016110634905944443,-0.016942331536892508,-0.0976896237030519,-0.11125898959455727
20240701,0.9418105798374268,0.9112638418765351,0.006019994008367613,0.004942137953806602,-0.09225772064405635,-0.10686670891592809
20240702,0.9574301899096771,0.9256437348089698,0.01658466193376862,0.01578016406622984,-0.07720312181794953,-0.0927729190496096
20240703,0.9746932704337207,0.9416581978025715,0.01803064150888334,0.017300892764003484,-0.06056450212193221,-0.07707708060948681
20240704,0.9708089181795867,0.9369699475617338,-0.003985204753086613,-0.00497871759814561,-0.06430834493329407,-0.08167205318998827
20240705,0.9652859745677331,0.9307698246242838,-0.005689012027423446,-0.006617205763732814,-0.06963150601292833,-0.08774881817261648
20240708,0.9320805760388102,0.8981046842894636,-0.0343995452164243,-0.035094756480750666,-0.10163575908977307,-0.1197640512481255
20240709,0.9399459197997042,0.9047236739384509,0.00843848049523821,0.0073699533748941,-0.09405492996523257,-0.11327675334691856
20240710,0.9307535715310546,0.8951534678070772,-0.009779656547270754,-0.010578043226958544,-0.10291476160086577,-0.12265655018036392
20240711,0.9686307206288255,0.9308271772536327,0.04069514236240246,0.03985205970764771,-0.06640775011300315,-0.0876926066340381
20240712,1.0030074070843362,0.9630426818522241,0.03548998160330252,0.034609544484554,-0.03327457833952785,-0.05611806331975144
20240715,1.0248617935667579,0.9833042798480447,0.02178885851496415,0.02103914850051236,-0.012210734904148701,-0.03625959108698451
20240716,1.0419973415439283,0.9986777508261864,0.01671986221433297,0.01563450021850543,0.0,-0.021191991453251346
20240717,1.030666207919301,0.9870330091295549,-0.010874436212896632,-0.011660159332675613,-0.010874436212896632,-0.032605048789005386
20240718,1.0286217599840695,0.9844325734467627,-0.0019836178963884565,-0.0026345984974560643,-0.01283648338300003,-0.03515374607391242
20240719,1.0309311111069666,0.9857901925333986,0.0022450926207635558,0.0013790879368025255,-0.010620209856356144,-0.03382313824425376
20240722,1.0383293940434706,0.9918297405743841,0.007176311643714017,0.00612660593169867,-0.003520112148292953,-0.027903753351951055
20240723,1.0473752082850254,0.9996970177201709,0.008711892674374333,0.007932084332569866,0.0,-0.020193003944164123
20240724,1.049516076284361,1.0010313735364795,0.002044031577605354,0.001334760225004672,0.0,-0.01888519653764753
20240725,1.0948103748755642,1.0432128292378566,0.0431573175625477,0.04213799568774457,0.0,0.0
20240726,1.0910605717621362,1.0389080229857341,-0.0034250708611106573,-0.00412648898812662,-0.0034250708611106573,-0.00412648898812662
20240729,1.0924327151442403,1.0393255080581596,0.0012576234698757904,0.000401849887755823,-0.00217175484073584,-0.0037262973295075774
20240730,1.1065452824992699,1.0517412932022177,0.012918477412282803,0.011946002525479615,0.0,0.0
